color_code,file_name,true_R,true_G,true_B,observed_R,observed_G,observed_B,red_R,red_G,red_B,green_R,green_G,green_B,blue_R,blue_G,blue_B
8002-12C,8002-12C_4,222,158,133,236,167,98,226,52,21,44,134,60,62,78,159
7001-21,7001-21-3,247,238,234,142,137,132,132,68,65,104,116,102,106,101,109
7002-10,7002-10-4,244,230,210,165,161,156,157,70,72,130,139,131,156,145,142
1001-4B,1001-4B-5,209,195,219,143,140,160,155,78,82,119,145,137,89,96,139
7001-19,7001-19-3,228,213,207,137,135,130,143,71,67,111,128,114,76,81,106
8002-9B,8002-9B_6,238,194,187,238,189,146,216,48,21,43,127,60,55,73,150
2003-6B,2003-6B_3,233,165,140,237,170,99,220,50,19,41,127,57,58,74,153
1004-4B,1004-4B_3,234,200,217,192,177,195,141,122,211,173,182,150,181,139,128
8002-2B,8002-2B_1,223,196,216,135,120,128,90,69,138,108,105,91,90,60,56
8002-12B,8002-12B_8,236,187,168,230,198,150,212,57,42,36,119,74,57,75,142
2001-4B,2001-4B_2,235,189,190,242,190,153,222,47,16,32,130,58,51,69,150
2001-6B,2001-6B_6,125,179,176,198,168,130,185,60,25,25,87,45,27,41,86
8002-12C,8002-12C_2,222,158,133,184,143,98,181,57,33,22,82,48,26,40,89
7001-21,7001-21-5,247,238,234,175,175,178,161,74,75,191,190,187,93,101,139
1004-4B,1004-4B_2,234,200,217,192,185,199,171,168,218,169,179,156,187,182,176
7001-21,7001-21-2,247,238,234,171,169,171,157,88,87,196,191,186,103,107,137
1004-4B,1004-4B_1,234,200,217,158,152,174,101,96,185,132,140,117,158,125,116
8002-9B,8002-9B_3,238,194,187,213,188,168,165,57,57,45,92,76,31,47,88
2002-4B,2002-4B_2,239,184,184,242,183,143,220,51,21,41,128,60,56,73,153
8002-10A,8002-10A_4,249,217,208,198,197,206,151,129,211,178,182,158,187,161,152
8002-10A,8002-10A_5,249,217,208,166,159,172,95,73,124,135,134,118,147,127,122
1008-3C,1008-3C,202,121,131,184,101,109,167,16,30,0,78,38,29,34,82
4005-7A,4005-7A-5,227,236,240,164,167,171,163,76,75,193,196,196,87,92,132
6004-1A,6004-1A-5,234,232,225,167,169,172,163,74,75,194,193,190,107,112,144
2002-4B,2002-4B_1,239,184,184,239,181,143,219,47,14,33,130,57,53,71,150
1004-3C,1004-3C,203,152,178,176,133,153,163,22,36,1,78,44,30,36,86
2002-4B,2002-4B_3,239,184,184,231,181,150,191,44,50,27,70,50,28,37,67
7001-19,7001-19-5,228,213,207,157,156,160,160,75,77,119,145,135,88,95,136
4005-7A,4005-7A-2,227,236,240,173,174,179,165,82,81,134,154,141,138,141,159
2002-3B,2002-3B,200,99,97,179,77,63,169,23,22,12,78,33,38,38,75
8002-12C,8002-12C_3,222,158,133,232,161,97,221,45,14,31,125,51,54,69,146
7002-17,7002-17-4,249,231,215,166,156,147,157,70,69,115,127,113,84,83,105
8002-12B,8002-12B_5,236,187,168,203,170,129,183,53,29,25,79,43,23,34,79
7003-10,7003-10-4,232,216,189,161,156,149,166,75,76,138,152,144,97,98,126
1004-4B,1004-4B_4,234,200,217,145,133,142,179,175,218,157,162,139,168,152,141
8007-3E,8007-3E-5,221,229,230,148,152,161,156,76,78,117,137,132,95,102,142
8002-12C,8002-12C_8,222,158,133,230,163,107,216,53,40,45,114,67,64,73,131
7003-10,7003-10-2,232,216,189,153,147,130,160,82,79,120,139,121,116,117,135
1008-6C,1008-6C_3,241,208,207,146,141,148,99,85,150,111,110,93,121,88,80
2002-6C,2002-6C_1,236,184,174,238,185,135,222,46,16,34,130,57,53,70,152
2001-4B,2001-4B_4,235,189,190,218,192,157,188,58,44,24,87,58,42,60,108
8007-3E,8007-3E-2,221,229,230,151,152,154,140,97,95,118,130,120,101,105,125
8002-12C,8002-12C_7,222,158,133,213,165,117,195,54,51,24,89,63,48,65,119
2001-4B,2001-4B_5,235,189,190,237,187,160,204,50,58,33,72,53,31,38,67
1006-6C,1006-6C_1,239,220,222,190,189,196,123,107,199,162,165,142,160,118,110
1008-6C,1008-6C_5,241,208,207,195,185,194,176,161,220,165,161,145,193,172,166
1002-4B,1002-4B_2,227,209,223,145,129,134,90,67,129,94,90,77,128,98,90
1006-6B,1006-6B_1,224,196,204,177,163,161,161,136,187,159,152,125,182,141,120
8002-12C,8002-12C_1,222,158,133,201,155,121,170,54,55,47,89,74,28,42,82
1002-4B,1002-4B_5,227,209,223,169,159,160,141,123,196,189,198,182,192,160,146
1006-6B,1006-6B_5,224,196,204,175,164,173,163,152,209,147,147,130,156,132,126
1006-6B,1006-6B_3,224,196,204,132,122,126,132,114,192,121,120,103,128,96,89
2002-4B,2002-4B_6,239,184,184,202,172,133,183,60,23,25,84,41,27,41,82
1003-3A,1003-3A,122,75,112,107,54,82,188,25,38,9,88,41,42,45,92
1008-4B,1008-4B_2,231,181,189,180,166,193,139,117,204,173,176,155,171,129,123
2003-6B,2003-6B_7,233,165,140,230,170,120,204,53,61,30,71,53,30,37,66
7002-10,7002-10-1,244,230,210,173,170,156,166,87,83,141,154,137,93,95,120
8002-9B,8002-9B_8,238,194,187,228,200,161,208,56,35,31,114,68,54,73,139
2002-6C,2002-6C_5,236,184,174,227,183,146,197,47,58,26,69,50,25,34,65
7003-10,7003-10-3,232,216,189,132,128,120,141,67,67,187,185,181,101,98,105
2001-4B,2001-4B_3,235,189,190,208,186,170,161,57,54,48,97,78,28,47,87
2002-6C,2002-6C_4,236,184,174,215,185,147,187,52,46,23,87,61,44,62,112
1008-4B,1008-4B_4,231,181,189,106,98,100,117,102,167,130,133,122,150,142,141
1008-4B,1008-4B_5,231,181,189,147,128,158,122,96,185,168,166,154,160,128,124
2003-6B,2003-6B_2,233,165,140,193,151,100,186,56,32,25,85,49,27,41,90
8002-12B,8002-12B_2,236,187,168,217,184,153,169,54,53,46,87,71,29,43,82
1006-6C,1006-6C_3,239,220,222,191,182,186,154,130,194,152,148,131,179,162,157
4005-7A,4005-7A-1,227,236,240,169,172,172,164,88,84,136,153,139,85,91,123
1004-4C,1004-4C-4,238,215,226,161,160,153,159,78,65,118,143,121,118,118,125
4005-7A,4005-7A-4,227,236,240,164,160,153,154,91,82,130,135,121,91,87,98
2002-4B,2002-4B_5,239,184,184,210,180,153,156,52,43,36,84,62,24,40,74
8007-3E,8007-3E-3,221,229,230,149,148,145,149,69,64,116,132,114,86,85,104
6004-1A,6004-1A-1,234,232,225,160,159,153,156,75,70,125,140,123,123,125,136
1004-4C,1004-4C-2,238,215,226,167,158,165,152,77,76,116,138,124,128,130,148
1008-5C,1008-5C,188,123,126,169,110,100,172,22,32,1,66,29,23,30,66
1001-4A,1001-4A,185,169,200,204,181,228,224,40,66,20,116,74,20,43,119
2003-6C,2003-6C_2,242,201,186,240,204,146,218,51,19,40,129,61,57,74,155
7001-19,7001-19-4,228,213,207,164,163,157,169,83,79,154,165,154,94,98,123
1008-4B,1008-4B_3,231,181,189,138,128,159,106,106,203,145,154,130,181,144,134
1004-3B,1004-3B,175,113,147,217,137,186,244,91,110,10,119,75,33,55,142
2003-6B,2003-6B_8,233,165,140,219,169,120,193,52,50,25,88,63,52,68,120
1001-4B,1001-4B-3,209,195,219,134,134,131,142,75,61,114,136,110,94,100,109
8002-9B,8002-9B_2,238,194,187,225,173,134,171,31,40,47,74,55,26,28,53
2002-4B,2002-4B_4,239,184,184,217,185,146,181,54,39,22,87,57,48,67,110
1006-6C,1006-6C_4,239,220,222,177,169,175,108,86,156,122,120,106,149,129,124
1008-6C,1008-6C_2,241,208,207,178,164,178,131,109,177,154,152,131,151,125,117
2003-6B,2003-6B_1,233,165,140,235,169,109,214,51,36,40,105,59,56,66,119
2001-3C,2001-3C,218,130,131,243,133,140,231,21,55,2,103,55,25,41,117
1006-6C,1006-6C_2,239,220,222,204,197,198,146,120,203,176,176,147,187,149,138
2002-4B,2002-4B_8,239,184,184,238,179,146,216,49,40,42,111,65,55,65,126
7002-10,7002-10-5,244,230,210,161,160,159,151,69,73,161,162,161,86,93,134
2001-6B,2001-6B_4,125,179,176,208,177,149,161,52,45,40,85,64,27,43,78
1003-3A,1003-3A,122,75,112,164,101,146,249,69,90,21,143,87,33,56,149
1004-3B,1004-3B,175,113,147,145,84,108,164,20,33,2,78,37,33,37,83
2001-6B,2001-6B_2,125,179,176,240,181,139,219,50,20,39,126,57,58,74,153
1004-4C,1004-4C-5,238,215,226,165,158,171,161,77,80,125,149,141,91,98,141
8002-9B,8002-9B_5,238,194,187,201,174,143,182,57,31,24,80,43,25,39,83
2002-4B,2002-4B_7,239,184,184,227,174,143,172,36,46,47,82,64,29,34,63
7002-17,7002-17-5,249,231,215,167,165,166,162,76,78,113,140,129,93,100,140
7001-19,7001-19-1,228,213,207,166,160,153,159,74,69,148,159,142,90,93,121
4005-7A,4005-7A-3,227,236,240,136,134,129,138,71,65,112,125,107,83,83,95
8002-9A,8002-9A_4,241,217,211,186,178,188,115,92,172,157,155,138,137,103,96
1003-3B,1003-3B,169,119,162,162,97,133,181,22,37,4,81,35,34,38,84
6004-1A,6004-1A-4,234,232,225,174,172,170,161,72,70,129,142,130,115,118,139
2002-6C,2002-6C_6,236,184,174,222,167,136,171,31,44,48,79,61,25,29,58
2001-6B,2001-6B_1,125,179,176,235,179,146,194,55,62,70,99,79,47,51,76
8002-9B,8002-9B_7,238,194,187,232,184,146,194,43,52,34,72,49,33,38,68
8002-2B,8002-2B_5,223,196,216,190,200,206,137,145,214,171,193,163,191,192,183
1004-4C,1004-4C_3,238,215,226,195,161,160,120,83,148,173,159,129,141,83,69
2003-6C,2003-6C_8,242,201,186,228,204,163,209,54,40,30,111,68,48,65,134
1001-4B,1001-4B-2,209,195,219,154,149,160,155,75,74,120,141,125,99,103,135
8002-9A,8002-9A_1,241,217,211,117,119,132,98,88,154,113,119,103,121,94,88
1006-6B,1006-6B_2,224,196,204,173,160,176,118,95,172,148,149,130,128,99,93
8002-1A,8002-1A_2,231,224,233,194,187,194,154,145,214,165,163,143,192,162,156
1003-3C,1003-3C,196,155,191,180,134,171,164,22,36,1,75,40,32,37,86
2003-6B,2003-6B_6,233,165,140,212,163,123,175,60,60,52,90,77,33,45,84
2001-6B,2001-6B_3,125,179,176,236,175,132,219,46,16,38,130,61,50,67,147
7002-17,7002-17-2,249,231,215,166,162,158,152,77,76,117,137,122,96,100,132
2001-6B,2001-6B_5,125,179,176,231,181,149,199,49,58,29,74,54,30,39,70
